film,user,score,content
Mang Mẹ Đi Bỏ,Pham Thi Kieu Loan,9,"Hay nhé , chạm được đến cảm xuacs của mình và hầu hết mn trong rạp"
Mang Mẹ Đi Bỏ,Nguyễn Thị Mỹ Lệ,10,Rất hay cảm động và ý nghĩa
Mang Mẹ Đi Bỏ,NGUYỄN LÝ MINH TUẤN,7,"Tổng thể thì khá ổn tuy nhiên đoạn Lê Thị Hạnh khi trẻ không ổn cho lắm, khả năng truyền tải cảm xúc của bạn chưa đủ chạm đến trái tim tôi"
Mang Mẹ Đi Bỏ,Thao,8,Phim ko dở cũng ko gọi là quá hay. Kết thúc câu chuyện ko hay. Đang có cảm xúc là 2 mẹ con sẽ gặp lại và ôm nhau khóc nhưng chỉ là đứng từ xa nhìn nhau. Trong cốt truyện thấy vai của Tuấn Trần nhận là một người con cho dù vẫn đang bệnh động kính trong người nhưng vẫn rất có hiếu với mẹ. Có đôi lúc suy nghĩ lệch lạc mang mẹ bỏ vào chùa nhưng nước mắt vẫn rơi....
Mang Mẹ Đi Bỏ,caolinhchi7112,10,"mình thấy xúc động, đặt cảm nhận vào nv, vào csong ấy thì mình cgiac hiểu dc, xem mà mình khóc rất nhiều. Phim lắng đọng, diễn xuất của TT và cô HĐ cực có chiều sâu, xem diễn xuất th mà đã rưng rưng khóc dc r ấy.. k quá cao trào nhưng vx là 1 bộ phim hay, nên xem, đáng xem, đáng suy ngẫm về gđinh, về mẹ."
Mang Mẹ Đi Bỏ,Nguyễn Thị Hồng Thương,10,Phim rất hay ạaaa
Mang Mẹ Đi Bỏ,anan681,9,"Trừ 1 số đoạn dựng phim hơi thiếu tinh tế trong cách chuyển cảnh thì đây là 1 bộ phim ổn, đáng xem, có đầu tư chỉn chu và đầy tâm huyết. Cái kết phim vô cùng trọn vẹn. Lời thoại của Hoan khúc cuối thật sự rất ""chạm"". Phải đủ yêu thương và lòng vị tha đến mấy, con người ta mới có 1 quyết định như thế trong cuộc đời (dù cuộc đời của người ta cũng đã quá đủ nghiệt ngã và cay đắng rồi). Tuấn Trần và cô Hồng Đào đã có 1 bộ phim với diễn xuất vô cùng thăng hoa trong sự nghiệp. 2 ngôi sao Hàn Quốc là điểm nhấn thú vị, tươi sáng và cũng nhiều thi vị trong phim."
Mang Mẹ Đi Bỏ,Lâm Tiểu My,10,"Phim ổn, xúc động lắm luôn"
Mang Mẹ Đi Bỏ,Trinh Phan Hoài Nhơn,10,"Phim hay , cảm động , nên xem ."
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Thoa,7,"Theo tui, tui chỉ thích những suy luận nhìu. Hoac tổ chức áo đen. Phần này k suy luận nhìu. Lồng tiếng vui vẻ. Rõ ràng. Lúc đầu coi hơi rối nhân vật xíu nếu k tập trung. Tuy nghiên về mori xíu nhưng vẫn cần sự suy luận qua mail của sinichi conan. Theo tui tạm được"
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Võ Lâm Như Ý,4,"Phòng chiếu phim (rạp Beta) như nhà xát z á. Huhu bạn mình cảm luôn á. Ghế ngồi siêu khó chịu luôn, mình không biết là có chổ chinbr kjoong nhưng mà mình ngồi ghế nó thẳng tưng làm mình đau cổ lắm luôn. Còn phim thì quá oke , phim siu hay."
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Hồng Phấn,10,conan mãi đỉnh trong lòng mình. Phân đoạn nào của bác Mori trong phim cũng ngầu nhưng tiếc là quá ít🥲
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Hoahonggai05,9,"tốt, kịch bản vắt sữa nên xem cảm thấy giống các movie trước"
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Đỗ Gia Hân,10,"Phim sinh động , hấp dẫn, cuống hút người xem"
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Trần Lê Phương Vy,10,"Trời ơi phim hay vãiiii íiiiii, có lẽ sẽ đi cày lại á, phim đủ wow lắm luôn, ae nên xem nháaaaa"
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Hoàng Linh,10,phim hay vcl tôi đã thsu bị giật mình ở phát súng đầu tiên
Conan Movie 28: Dư Ảnh Của Độc Nhãn,NGUYÊN KIM NGÂN,10,LOA TO LÀM TUI HƠI BỊ GIẬT MIK NHƯNG MỘT LÚC SAU THÌ QUEN RÙI
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Cao Gia Bảo,10,Máy chiếu bị mờ
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Lê Thùy Linh,8,Phim rất hay
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Suquocbao,10,Phim quá hay có thể nói là movie hay nhất trong 28 movie tôi đã từng xem
Conan Movie 28: Dư Ảnh Của Độc Nhãn,nhi nhi,10,"trời ơi quá tuyệt vời luôn ấyyyyyy, nhạc phim hay nữa ạ, nói chung e thấy 10/10✨✨✨"
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Nguyễn Quang Duy,6,"nội dung nhạt nhoà dễ đoán, tuyến nhân vật lộn xộn"
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Lương Thị Hạnh Hiếu,10,Hay nhaaaa
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Quản Thế Vinh,10,10 điểm vì có ny đi cùng
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Nguyễn Hoàng Phương Linh,10,"Combat hay, combat gánh nội dung, nội dung hơi kỳ, combat hơi ảo nhưng gay cấn nên vẫn tạm được. Nội dung vừa dài dòng vừa đau đầu, lôi F5 cảnh sát ra làm cameo (rei+hiro) để vắt sữa + lôi kéo người xem chứ chả có xuất hiện gì mấy. Bù lại, animation và đồ hoạ rất tốt, Takaaki và Mori chiếm spotlight, Conan thì vẫn phải quá ảo như ngày thường. Hơn nữa, tình tiết tình cảm của hai người Yui và Kansuke không bằng một tí cốt truyện của Takaaki, nói chung Takaaki chiếm spot, Hiro có xuất hiện làm cameo, after credit dài và hay, đáng để ở lại xem. Tuy nhiên thì nội dung phim quá ảo, quá đề cao thể lực và giới hạn của con người đồng thời hạ thấp IQ người xem, nhưng dù sao Conan có sạn cũng không phải ngày một ngày hai, thôi thì hay hơn movie 26 cũng đã rất tốt rồi. Movie 28 không tiếp tục vắt sữa bộ ba Nagano mà quay sang con đường quen thuộc là vắt sữa F5 hoa anh đào, dự kiến là có Chihaya và Matsuda lẫn anh bạn Kenji, mong là cho tí đất diễn thực sự đi chứ đừng có cameo vắt sữa như Amuro đợt này. Có một nhân vật mới xuất hiện nhưng tổn thời lượng lên hình rất ít, đẹp trai nhưng được cái vô dụng, ngầu thì cũng ngầu mà được cái chả làm được gì. Đánh giá công tâm thì phim khoảng 5/10, cho lên 7/10 vì animation, combat, nhan sắc của Takaaki và Hasebe lẫn pha bắn súng của Mori, đánh giá 10 sao so với movie 26."
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Trần Thị Ngọc Ngân,10,"Cực kì suất sắc và mảng nhãn người coi , bộ phim mình tăm đắc nhất"
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Nguyễn Trần Tiến,10,Phim quá hay kịch tính và suy đoán của Mori rất chính xác và bắn súng giỏi
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Trần Nguyên Khánh,9,video không full HD lắm
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Voanhkhoa,10,"Phim rất hay ạ. Xem phim em không ngừng cảm thán về nội dung, chất lượng hình ảnh và diễn viên lồng tiếng ạ. Phải nói là bộ phim này rất được mọi người săn đón ạ. Chúc phim sẽ được nhận được sự quan tâm của mọi người ạ. Cảm ơn phim và nhân viên của rạp đã cho em biết phim hay như thế ạ❤️"
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Lê Thành Thông,10,không có chỗ chê
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Trịnh Yến Nhi,10,bị mê huhu
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Trần Anh Hưng,8,phim khá là hay nhưng hơi loằn ngoằn và rắc rối ở các tỉnh thành và tên các nhân vật ở nagato hơi lạ . Nên sáng tạo hơn ở movie sau và nên tạo nhiều movie liên quan tới tổ chức áo đen sẽ hay hơn
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Nông Thị Yến Nhi,10,hay zữuuuu
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Đinh Nguyễn Hồng Phúc,10,Phim hay nha! Siêu cuốn
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Đinh Văn Quý,10,Hài lòng hài hước
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Bùi thị hà my,10,Phim quá hay
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Trần Thị Tuyết Mai,10,Đỉnh nóc kịch trần luôn trời ơii nó hay không có từ nào để tả
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Đinh Nguyễn Trà My,6,"Thoại dài dòng, buồn ngủ. Đc mỗi pha cuối =))"
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Lý Minh Triết,4,Phim coi rất hay nhưng lần này đi coi không được tặng phần quà nào hết. Nên chỉ cho 4 sao
Conan Movie 28: Dư Ảnh Của Độc Nhãn,TruongBaoThy,10,chất lượng tuyệt vời
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Đỗ Lê Thu Hiền,10,Phim rất hay chia cảnh đều cho các nhân vật.Movie này làm nổi bật lên các nhân vật phụ nhiều để cho người xem ko thấy chán vì chỉ xoay quanh nv9 phá án ko. Phim các cảnh đều rất đẹp rất mượt
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Đặng Minh Sang,7,"cốt chuyện chưa được logic
hoặc phần dịch thuật có vấn đề"
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Mai Quốc Khánh,10,"để đánh giá dc thì phải cần cả 1 quá trình,trình là gì mà là trình ai chấm"
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Võ Như Ý,10,good happy
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Bùi Đăng Khôi,10,"Đồ hoạ sắc nét chi tiết chỉnh chu, đặc biệt là âm thanh và lồng tiếng rất là bắt tai người nghe"
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Hoàng Khánh Linh,10,"Hay, chấm 100 điểm"
Conan Movie 28: Dư Ảnh Của Độc Nhãn,euiju,10,Dư Ảnh Của Độc Nhãn xuất sắc
Conan Movie 28: Dư Ảnh Của Độc Nhãn,VO VAN DU,10,"Quá xuất sắc, cảm xúc trọn vẹn."
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Phạm Thị Thanh Xuân,10,Tập này bác Mori thiệt là ngầu
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Nguyễn Thị Như Ý,8,"Phim giữ vững phong độ về đồ họa, có những khoảnh khắc đáng yêu và hài hước. Song, phần lớn bộ phim còn dàn trải. Nhiều tình tiết hành động nhưng cũng vì vậy khiến mạch truyện trở nhanh hơn để, nhanh đến mức tôi tưởng mình là vịt luôn. Các nhân vật xuất hiện nhiều nhưng không đủ nổi bật. Thiếu đi cảm giác được suy luận và dẫn dắt suy luận như các tập truyện đầu."
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Ngô Văn Trường An,8,Làm tôi giật mình mấy lần
Conan Movie 28: Dư Ảnh Của Độc Nhãn,trần xuân hoàng,10,Rất Hay đâh là 1 bộ phim bất cứ giá nào cũng phải ik xem
Conan Movie 28: Dư Ảnh Của Độc Nhãn,thuyduong011891,9,"Hay, nhiều tình tiết hơi ảo. Không thực tế"
Conan Movie 28: Dư Ảnh Của Độc Nhãn,MeatFrog,10,"siêu siêu hay!!!!
từ đồ hoạ tới nhạc phim, cốt truyện xây dựng rất tốt"
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Phạm Tùng Lâm,9,Hay nma độ hấp dẫn ko bằng 3 movie gần đây
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Hoàng Minh Thông,7,Bình thường
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Trần Thị Hồng Nhung,9,"Phim hay, âm thanh sống động, nội dung phim hấp dẫn, nhiều tình tiết gây cười, xúc động"
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Lê Quỳnh Anh,9,"Conan mãi đỉnh
Eo ôi cái đoạn kết rei đẹp trai quá 🥰"
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Nguyễn Thị Thảo Như,10,phim hay 10/10 tuyệt vời
Conan Movie 28: Dư Ảnh Của Độc Nhãn,Trương Hoàng Phụng,10,Tuyệt đỉnh thượng hạng🫶💗
Bộ Tứ Siêu Đẳng: Bước Đi Đầu Tiên,Vu Thai Binh,9,Phim xem được
Bộ Tứ Siêu Đẳng: Bước Đi Đầu Tiên,diepnguyentam,8,"Một bộ phim tốt, không hẳn là xuất sắc nhưng là một phim tốt. Tôi thích cái cách mà mọi người trong phim này (ý tôi là mọi người trên Trái Đất trong cái phim này) cùng nhau cố gắng để bảo vệ hành tinh của họ trước ngày nó bị tận diệt, mọi người, mọi chính phủ đều nỗ lực chứ không chỉ trông đợi vào sự cố gắng của một vài cá nhân siêu anh hùng."
Bộ Tứ Siêu Đẳng: Bước Đi Đầu Tiên,Võ Tuấn Anh,7,"Tôi thấy thiếu những pha chạm tránh kịch tính, gây cấn, sức mạnh quá khác biệt giữa 2 bên"
Bộ Tứ Siêu Đẳng: Bước Đi Đầu Tiên,877524312583158,10,Bộ phim quá hãy luôn
Phim Xì Trum,Lê Thu,7,"Phim thông điệp khá hay, hình ảnh đẹp. Tuy nhiên khó gây tiếng cười và hứng thú cho trẻ nhỏ dưới 8 tuổi"
Phim Xì Trum,tinnguyen223,10,"Phim hay, nhạc phim hay, tình tiết đan xen yếu tố hiện đại gen Z bây giờ khá mượt"
Mùa Hè Kinh Hãi,ericxu,6,"Ờm girl, WTF?????

Kiểu khúc đầu đang cuốn cái khúc sau kiểu 3 chấm kinh luôn á.... nhưng kệ, có mấy anh trai đẹp với mấy bà les xinh nên tạm cho qua trung bình hehe."
Mùa Hè Kinh Hãi,ducpham2301,10,Nên xem nha
Ma Xưởng Mía,KimNgan083,9,"Hù gì mà cho biết trước không vậy, không sợ nổi luôn. Cốt truyện thì cũng tàm tạm, có vài đoạn hơi xàm, như con quỷ kêu gọi 1 bầy quỷ t tưởng sẽ đánh nhau, nhưng không, mấy con đó đi ăn than với thuỷ tinh, mấy con quỷ chết cháy hơi vô dụng, tạo hình và hành động của satan rất đơ. Hơi thất vọng với bộ này. Cái tốt duy nhất chỉ có phần âm thanh"
Ma Xưởng Mía,Trần Thanh Lộc,5,Phim dài dòng cốt truyện tuy dễ hiểu nhưng bố cục không rõ rành cho lắm
Ma Xưởng Mía,Phan Trung Nghĩa,9,"Phim rất hay và hài nữa, hù thì rất nhiều:)"
Ma Xưởng Mía,Kapevole,10,"Khá hài lòng, jump-scare sáng tạo, đánh vào thính giác lẫn thị giác khiến cả rạp phải giật nảy mình. Pha vào đó là một chút hài hước để cân bằng bầu không khí khiến cho mọi người không nhịn được cười.
Bộ phim cũng đem lại nhiều thông điệp như đừng sống lỗi với người khác cũng như có thờ có thiêng có kiêng có lành khiến cho ta phải cân nhắc đâu mới là lựa chọn đúng đắn.
Tổng kết lại là phim rất phù hợp để có một buổi tối vui vẻ bên người thân và bạn bè."
Ma Xưởng Mía,ericxu,4,"Tính ra phim xem giải trí thì cũng tạm, chứ phim vẫn bị dài dòng á. Mà kệ, dù sao thì phim cũng khá hơn mấy phim trước của đạo diễn này rồi hehe"
Superman (2025),Phạm Lan Nhi,10,"Nice and funny, enjoyed every moment of it, 9.5/10 I don't mind rewatching it."
Superman (2025),Truongnx205,6,Phim dành cho trẻ con!
Superman (2025),tinnguyen223,10,"Cốt truyện sâu sắc, có sự liên kết giữa các nội dung, kỉ xảo đầu tư"
Superman (2025),Trần Huy Nam,8,"James Gun hoàn thành tốt vai trò các nhân vật, đặc biệt Là Lex, phản diện diễn xuất tốt, xuất sắc thì chưa còn hay thì chắc chắn, đón chờ phần 2"
Superman (2025),Leo86,9,"Phim xem ko nhạt nhẽo đâu nhé dù ko có gì mới mẻ. Nhưng nội dung và cách xây dựng khá ổn, kỹ xảo đẹp mắt, tình tiết pha chút hài hước nhẹ nhàng ko bị khiên cưỡng nhàm như Marvel gần đây, xứng đáng phim đạt chất lượng"
Superman (2025),Trương Hoài Nhân,9,"Phim ổn, đã thoát khỏi cái bóng của phim trước, mặc dù vẫn còn nhiều tình tiết mâu thuẫn"
Superman (2025),duchii3003,9,"Với Superman (2025), James Gunn đã chứng minh rằng ông không chỉ là bậc thầy của những câu chuyện mới mẻ, mà còn là người thấu hiểu sâu sắc bản chất của một biểu tượng siêu anh hùng. Bộ phim không đơn thuần là màn tái khởi động cho Superman, mà là lời tuyên bố chắc chắn về tầm nhìn dài hạn và định hướng cảm xúc của toàn bộ vũ trụ DC dưới bàn tay đạo diễn này cũng như cương vị CEO của ông

Không còn là cuộc phô trương kỹ xảo hay hành động đơn thuần, Superman lựa chọn một cấu trúc kể chuyện có điểm chạm cởi mở, nơi từng nhân vật đều có trọng lượng và lý do tồn tại. James Gunn cho thấy sự tinh tế trong cách ông sắp đặt không gian cho từng tuyến nhân vật phát triển, tránh hoàn toàn cảm giác rối rắm thường gặp ở các phim ensemble cast.

David Corenswet thể hiện một Superman đúng như hình dung của thời đại hiện nay: mạnh mẽ nhưng không xa cách, gần gũi mà không tầm thường. Với chiều cao, thể hình và thần thái mang đậm chất ""người hùng"", Corenswet không chỉ “đủ chuẩn” về ngoại hình mà còn sở hữu khả năng biểu cảm thuyết phục - từ ánh mắt nhân hậu cho đến sự dằn vặt nội tâm. Không phải một vị thần phán xét, Superman trong tay Corenswet là biểu tượng của hy vọng và lòng bao dung - một người chiến đấu để cứu người, không phải để trừng phạt.

Phiên bản Lex Luthor của Nicholas Hoult là điểm sáng đáng kể của bộ phim. Không ồn ào, không cần những tuyên ngôn lớn tiếng, nhân vật được xây dựng theo hướng tối giản nhưng sắc lạnh. Luthor của Nick là hiện thân của sự nguy hiểm có tính toán - một thiên tài không chỉ tàn nhẫn mà còn luôn đi trước người khác vài bước. Từ bắt cóc, tra tấn, cho đến các màn thao túng dư luận, từng hành động đều phản ánh một bộ óc vận hành như cỗ máy lạnh lẽo. Đáng sợ ở đây không phải sức mạnh vật lý, mà là khả năng đọc vị con người - đặc biệt là Superman - như một cuốn sách mở.

Điều đáng ghi nhận là cách bộ phim xây dựng hình ảnh Superman như một người hùng nhân đạo. Anh không phải kẻ chinh phạt, cũng không phải đấng cứu thế mang tính thượng đẳng. Superman của Gunn biết lùi lại để lắng nghe, biết phân vân giữa lựa chọn đúng và cần thiết, và biết rằng mỗi sinh mạng đều xứng đáng được trân trọng - dù là con người hay không."
Superman (2025),miduynph,8,"Superman 2025 có giải trí, có lôi cuốn, có cả những phân cảnh hoành tráng, chạm cảm xúc người xem. Càng về cuối mạch phim trở nên hài hòa và đẩy cao trào với tiết tấu nhịp nhàng. Một Superman khởi đầu mới khá ổn và thuận lợi về sau."
Superman (2025),blakenguyen,8,"Một bộ phim Superman có tông màu sáng, tràn đầy hi vọng đúng như nguyên bản của nhân vật này.
Với phong cách đặc trưng của James Gunn, bộ phim khá thú vị để theo dõi, theo chân Clark Kent trong hành trình học hỏi cách sử dụng sức mạnh thần thánh của mình theo cách có ý nghĩa nhất.
James cài rất nhiều kiểu châm biếm vào bộ phim của mình, tuy không phải cái nào cũng thành công như vẫn có chất điên riêng của ông. Yếu tố chính trị có phần hời hợt và không thực sự cần thiết. Phản diện Lex Luthor và Lois Lane quá hợp vai và tương tác tốt với Superman.
Góc quay đặc sắc và theme phim rất đỉnh"
Wolfoo Và Cuộc Đua Tam Giới,ericxu,9,"Tính ra phim trẻ em nhưng xem cũng nhiều cảm xúc ghê á, lúc đầu tính là đưa em của mình đi xem thôi ai dè khúc cuối mình ở đó lim rim, cũng sâu sắc phết đó."
Wolfoo Và Cuộc Đua Tam Giới,Kiniem,10,"Phim hay, hài hước mà cũng xúc động lắm nhe. Dẫn các con đi xem về tình cảm bố con đi lên, dạt dào luôn nha :D"
Wolfoo Và Cuộc Đua Tam Giới,hile,10,"=))) phim oki la nha, xứng đáng cho tiền bắp nước của tui"
Wolfoo Và Cuộc Đua Tam Giới,ChsNgyn179,10,"omg luôn =)) tưởng phim hh cho trẻ con hài hài thôi, mà mình xem khóc vl. Hay nha các ní, xem ok vãi"
